,id,slug,title,type,mature,assets,earlyAccess,achievements,tradingCards,appid,tags,releaseDate,developers,publishers,reviews,stats,players,urls,price_history
802,018d937f-7043-7145-b8e3-daa17f82ac32,love-is-all-around,Love Is All Around,game,False,"{'boxart': 'https://dbxce1spal1df.cloudfront.net/018d937f-7043-7145-b8e3-daa17f82ac32/boxart.jpg?t=1721978412', 'banner145': 'https://dbxce1spal1df.cloudfront.net/018d937f-7043-7145-b8e3-daa17f82ac32/banner145.jpg?t=1721978412', 'banner300': 'https://dbxce1spal1df.cloudfront.net/018d937f-7043-7145-b8e3-daa17f82ac32/banner300.jpg?t=1721978412', 'banner400': 'https://dbxce1spal1df.cloudfront.net/018d937f-7043-7145-b8e3-daa17f82ac32/banner400.jpg?t=1721978412', 'banner600': 'https://dbxce1spal1df.cloudfront.net/018d937f-7043-7145-b8e3-daa17f82ac32/banner600.jpg?t=1721978413'}",False,True,False,2322560.0,"['Dating Sim', 'Singleplayer', 'FMV', 'Visual Novel', 'Romance']",2023-10-17,"[{'id': 12509, 'name': 'intiny'}]","[{'id': 12509, 'name': 'intiny'}]","[{'score': 94, 'source': 'Steam', 'count': 34791, 'url': 'https://store.steampowered.com/app/2322560/'}, {'score': None, 'source': 'Metacritic User Score', 'count': 3, 'url': 'https://metacritic.com/game/love-is-all-around/user-reviews/?platform=pc'}]","{'rank': 14821, 'waitlisted': 954, 'collected': 225}","{'recent': 645, 'day': 645, 'week': 645, 'peak': 62660}",{'game': 'https://isthereanydeal.com/game/love-is-all-around/'},[]
1128,018d937f-72ef-72b5-a7e9-6d8a65787f8b,nba-2k24,NBA 2K24,game,False,"{'boxart': 'https://dbxce1spal1df.cloudfront.net/018d937f-72ef-72b5-a7e9-6d8a65787f8b/boxart.jpg?t=1719595214', 'banner145': 'https://dbxce1spal1df.cloudfront.net/018d937f-72ef-72b5-a7e9-6d8a65787f8b/banner145.jpg?t=1719595214', 'banner300': 'https://dbxce1spal1df.cloudfront.net/018d937f-72ef-72b5-a7e9-6d8a65787f8b/banner300.jpg?t=1719595214', 'banner400': 'https://dbxce1spal1df.cloudfront.net/018d937f-72ef-72b5-a7e9-6d8a65787f8b/banner400.jpg?t=1719595214', 'banner600': 'https://dbxce1spal1df.cloudfront.net/018d937f-72ef-72b5-a7e9-6d8a65787f8b/banner600.jpg?t=1719595214'}",False,False,False,2338770.0,"['Sports', 'Basketball', 'Simulation', 'eSports', '3D']",2023-09-07,"[{'id': 612, 'name': 'Visual Concepts'}]","[{'id': 513, 'name': '2K'}, {'id': 91942, 'name': 'Xbox'}, {'id': 91944, 'name': 'Microsoft Xbox ESD (USA)'}]","[{'score': 29, 'source': 'Steam', 'count': 29692, 'url': 'https://store.steampowered.com/app/2338770/'}, {'score': None, 'source': 'Metascore', 'count': 1, 'url': 'https://metacritic.com/game/nba-2k24/critic-reviews/?platform=pc'}, {'score': 23, 'source': 'Metacritic User Score', 'count': 276, 'url': 'https://metacritic.com/game/nba-2k24/user-reviews/?platform=pc'}, {'score': 68, 'source': 'OpenCritic', 'count': 65, 'url': 'https://opencritic.com/game/15393/nba-2k24'}]","{'rank': 32764, 'waitlisted': 244, 'collected': 390}","{'recent': 9169, 'day': 19829, 'week': 22312, 'peak': 30363}",{'game': 'https://isthereanydeal.com/game/nba-2k24/'},[]
1178,018d937f-3cc8-73d7-bfae-7ead7cfa08ce,gothic-playable-teaser,Gothic Playable Teaser,game,False,"{'boxart': 'https://dbxce1spal1df.cloudfront.net/018d937f-3cc8-73d7-bfae-7ead7cfa08ce/boxart.jpg', 'banner145': 'https://dbxce1spal1df.cloudfront.net/018d937f-3cc8-73d7-bfae-7ead7cfa08ce/banner145.jpg', 'banner300': 'https://dbxce1spal1df.cloudfront.net/018d937f-3cc8-73d7-bfae-7ead7cfa08ce/banner300.jpg', 'banner400': 'https://dbxce1spal1df.cloudfront.net/018d937f-3cc8-73d7-bfae-7ead7cfa08ce/banner400.jpg', 'banner600': 'https://dbxce1spal1df.cloudfront.net/018d937f-3cc8-73d7-bfae-7ead7cfa08ce/banner600.jpg'}",False,True,False,950670.0,"['RPG', 'Singleplayer', 'Atmospheric', 'Gothic', 'Third Person']",2019-12-13,"[{'id': 29813, 'name': 'THQ Nordic Barcelona'}]","[{'id': 9, 'name': 'THQ Nordic'}]","[{'score': 72, 'source': 'Steam', 'count': 9712, 'url': 'https://store.steampowered.com/app/950670/'}]","{'rank': 509, 'waitlisted': 122, 'collected': 27536}","{'recent': 0, 'day': 0, 'week': 0, 'peak': 3732}",{'game': 'https://isthereanydeal.com/game/gothic-playable-teaser/'},[]
1262,018d97ed-1a78-731f-a27a-6ca29bf5dc59,zombie-defense-the-last-frontier,Zombie Defense: The Last Frontier,,False,"{'boxart': 'https://dbxce1spal1df.cloudfront.net/018d97ed-1a78-731f-a27a-6ca29bf5dc59/boxart.jpg', 'banner145': 'https://dbxce1spal1df.cloudfront.net/018d97ed-1a78-731f-a27a-6ca29bf5dc59/banner145.jpg', 'banner300': 'https://dbxce1spal1df.cloudfront.net/018d97ed-1a78-731f-a27a-6ca29bf5dc59/banner300.jpg', 'banner400': 'https://dbxce1spal1df.cloudfront.net/018d97ed-1a78-731f-a27a-6ca29bf5dc59/banner400.jpg', 'banner600': 'https://dbxce1spal1df.cloudfront.net/018d97ed-1a78-731f-a27a-6ca29bf5dc59/banner600.jpg'}",False,False,False,2390840.0,"['Action', 'Arcade', 'Shooter', 'FPS', 'First-Person']",,"[{'id': 51932, 'name': 'LilMemes Production'}]","[{'id': 51932, 'name': 'LilMemes Production'}]","[{'score': 69, 'source': 'Steam', 'count': 33, 'url': 'https://store.steampowered.com/app/2390840/'}]","{'rank': 68147, 'waitlisted': 44, 'collected': 37}","{'recent': 0, 'day': 0, 'week': 0, 'peak': 4}",{'game': 'https://isthereanydeal.com/game/zombie-defense-the-last-frontier/'},[]
1297,018d937f-5daf-71e0-a4a3-1102da1dd046,needy-streamer-overload,NEEDY STREAMER OVERLOAD,,False,"{'boxart': 'https://dbxce1spal1df.cloudfront.net/018d937f-5daf-71e0-a4a3-1102da1dd046/boxart.jpg', 'banner145': 'https://dbxce1spal1df.cloudfront.net/018d937f-5daf-71e0-a4a3-1102da1dd046/banner145.jpg', 'banner300': 'https://dbxce1spal1df.cloudfront.net/018d937f-5daf-71e0-a4a3-1102da1dd046/banner300.jpg', 'banner400': 'https://dbxce1spal1df.cloudfront.net/018d937f-5daf-71e0-a4a3-1102da1dd046/banner400.jpg', 'banner600': 'https://dbxce1spal1df.cloudfront.net/018d937f-5daf-71e0-a4a3-1102da1dd046/banner600.jpg'}",False,False,False,1451940.0,"['Psychological Horror', 'Anime', 'Sexual Content', 'Visual Novel', 'Cute']",,"[{'id': 2146, 'name': 'WSS playground'}, {'id': 44253, 'name': 'xemono'}]","[{'id': 2146, 'name': 'WSS playground'}]","[{'score': 95, 'source': 'Steam', 'count': 35934, 'url': 'https://store.steampowered.com/app/1451940/'}, {'score': None, 'source': 'Metascore', 'count': 1, 'url': 'https://metacritic.com/game/needy-streamer-overload/critic-reviews/?platform=pc'}, {'score': 80, 'source': 'Metacritic User Score', 'count': 20, 'url': 'https://metacritic.com/game/needy-streamer-overload/user-reviews/?platform=pc'}, {'score': None, 'source': 'OpenCritic', 'count': 3, 'url': 'https://opencritic.com/game/12677/needy-streamer-overload'}]","{'rank': 4973, 'waitlisted': 2609, 'collected': 1510}","{'recent': 287, 'day': 482, 'week': 565, 'peak': 3605}",{'game': 'https://isthereanydeal.com/game/needy-streamer-overload/'},[]
1309,018d937f-4ae7-702b-9683-cc61277ae09c,worldbox-god-simulator,WorldBox - God Simulator,,False,"{'boxart': 'https://dbxce1spal1df.cloudfront.net/018d937f-4ae7-702b-9683-cc61277ae09c/boxart.jpg', 'banner145': 'https://dbxce1spal1df.cloudfront.net/018d937f-4ae7-702b-9683-cc61277ae09c/banner145.jpg', 'banner300': 'https://dbxce1spal1df.cloudfront.net/018d937f-4ae7-702b-9683-cc61277ae09c/banner300.jpg', 'banner400': 'https://dbxce1spal1df.cloudfront.net/018d937f-4ae7-702b-9683-cc61277ae09c/banner400.jpg', 'banner600': 'https://dbxce1spal1df.cloudfront.net/018d937f-4ae7-702b-9683-cc61277ae09c/banner600.jpg'}",False,False,False,1206560.0,"['Sandbox', 'God Game', 'Pixel Graphics', 'Simulation', 'Colony Sim']",,"[{'id': 37136, 'name': 'Maxim Karpenko'}]","[{'id': 37136, 'name': 'Maxim Karpenko'}]","[{'score': 94, 'source': 'Steam', 'count': 26258, 'url': 'https://store.steampowered.com/app/1206560/'}]","{'rank': 1963, 'waitlisted': 6199, 'collected': 984}","{'recent': 1454, 'day': 1573, 'week': 1573, 'peak': 10532}",{'game': 'https://isthereanydeal.com/game/worldbox-god-simulator/'},[]
1804,018d937f-5db0-7313-92ff-cb1b3cb2e754,touhou-mystias-izakaya,Touhou Mystia's Izakaya,,False,"{'boxart': 'https://dbxce1spal1df.cloudfront.net/018d937f-5db0-7313-92ff-cb1b3cb2e754/boxart.jpg', 'banner145': 'https://dbxce1spal1df.cloudfront.net/018d937f-5db0-7313-92ff-cb1b3cb2e754/banner145.jpg', 'banner300': 'https://dbxce1spal1df.cloudfront.net/018d937f-5db0-7313-92ff-cb1b3cb2e754/banner300.jpg', 'banner400': 'https://dbxce1spal1df.cloudfront.net/018d937f-5db0-7313-92ff-cb1b3cb2e754/banner400.jpg', 'banner600': 'https://dbxce1spal1df.cloudfront.net/018d937f-5db0-7313-92ff-cb1b3cb2e754/banner600.jpg'}",False,False,False,1584090.0,"['Pixel Graphics', 'Casual', 'Simulation', 'RPG', 'Time Management']",,"[{'id': 29561, 'name': '二色幽紫蝶'}, {'id': 29562, 'name': 'Re零同人社'}]","[{'id': 29561, 'name': '二色幽紫蝶'}, {'id': 29562, 'name': 'Re零同人社'}]","[{'score': 98, 'source': 'Steam', 'count': 19647, 'url': 'https://store.steampowered.com/app/1584090/'}, {'score': None, 'source': 'OpenCritic', 'count': 6, 'url': 'https://opencritic.com/game/16640/touhou-mystias-izakaya'}]","{'rank': 10757, 'waitlisted': 1143, 'collected': 766}","{'recent': 248, 'day': 1105, 'week': 1193, 'peak': 3128}",{'game': 'https://isthereanydeal.com/game/touhou-mystias-izakaya/'},[]
2001,018d937f-5232-724d-806d-647c067572ee,anatomy-of-fear,Anatomy Of Fear,,False,"{'boxart': 'https://dbxce1spal1df.cloudfront.net/018d937f-5232-724d-806d-647c067572ee/boxart.jpg', 'banner145': 'https://dbxce1spal1df.cloudfront.net/018d937f-5232-724d-806d-647c067572ee/banner145.jpg', 'banner300': 'https://dbxce1spal1df.cloudfront.net/018d937f-5232-724d-806d-647c067572ee/banner300.jpg', 'banner400': 'https://dbxce1spal1df.cloudfront.net/018d937f-5232-724d-806d-647c067572ee/banner400.jpg', 'banner600': 'https://dbxce1spal1df.cloudfront.net/018d937f-5232-724d-806d-647c067572ee/banner600.jpg'}",False,False,False,1662940.0,"['FPS', 'Third-Person Shooter', 'Cinematic', 'Third Person', 'Sci-fi']",,"[{'id': 50459, 'name': 'GenemesicX'}]","[{'id': 50459, 'name': 'GenemesicX'}]","[{'score': 30, 'source': 'Steam', 'count': 10, 'url': 'https://store.steampowered.com/app/1662940/'}]","{'rank': 65594, 'waitlisted': 40, 'collected': 72}","{'recent': 0, 'day': 0, 'week': 0, 'peak': 4}",{'game': 'https://isthereanydeal.com/game/anatomy-of-fear/'},[]
2032,018d937f-6f0c-70f5-9467-15fecaceb096,magicraft,Magicraft,,False,"{'boxart': 'https://dbxce1spal1df.cloudfront.net/018d937f-6f0c-70f5-9467-15fecaceb096/boxart.jpg?t=1718776501', 'banner145': 'https://dbxce1spal1df.cloudfront.net/018d937f-6f0c-70f5-9467-15fecaceb096/banner145.jpg?t=1718776501', 'banner300': 'https://dbxce1spal1df.cloudfront.net/018d937f-6f0c-70f5-9467-15fecaceb096/banner300.jpg?t=1718776502', 'banner400': 'https://dbxce1spal1df.cloudfront.net/018d937f-6f0c-70f5-9467-15fecaceb096/banner400.jpg?t=1718776502', 'banner600': 'https://dbxce1spal1df.cloudfront.net/018d937f-6f0c-70f5-9467-15fecaceb096/banner600.jpg?t=1718776503'}",False,False,False,2103140.0,"['Roguelike', 'RPG', 'Bullet Hell', 'Roguelite', 'Procedural Generation']",,"[{'id': 29860, 'name': 'Wave Game'}]","[{'id': 749, 'name': 'bilibili'}]","[{'score': 88, 'source': 'Steam', 'count': 6066, 'url': 'https://store.steampowered.com/app/2103140/'}]","{'rank': 7928, 'waitlisted': 1981, 'collected': 284}","{'recent': 299, 'day': 753, 'week': 753, 'peak': 11753}",{'game': 'https://isthereanydeal.com/game/magicraft/'},[]
2077,018d937f-4997-701c-b29e-537d16755d9d,nine-to-five,Nine to Five,game,False,"{'boxart': 'https://dbxce1spal1df.cloudfront.net/018d937f-4997-701c-b29e-537d16755d9d/boxart.jpg', 'banner145': 'https://dbxce1spal1df.cloudfront.net/018d937f-4997-701c-b29e-537d16755d9d/banner145.jpg', 'banner300': 'https://dbxce1spal1df.cloudfront.net/018d937f-4997-701c-b29e-537d16755d9d/banner300.jpg', 'banner400': 'https://dbxce1spal1df.cloudfront.net/018d937f-4997-701c-b29e-537d16755d9d/banner400.jpg', 'banner600': 'https://dbxce1spal1df.cloudfront.net/018d937f-4997-701c-b29e-537d16755d9d/banner600.jpg'}",False,True,False,1408680.0,"['Team-Based', 'Difficult', 'Tactical', 'Multiplayer', 'FPS']",2022-05-16,"[{'id': 42993, 'name': 'Redhill Games'}]","[{'id': 42993, 'name': 'Redhill Games'}]","[{'score': 46, 'source': 'Steam', 'count': 3367, 'url': 'https://store.steampowered.com/app/1408680/'}]","{'rank': 23503, 'waitlisted': 106, 'collected': 1080}","{'recent': 0, 'day': 0, 'week': 0, 'peak': 823}",{'game': 'https://isthereanydeal.com/game/nine-to-five/'},[]
