id,slug,title,type,mature,assets,earlyAccess,achievements,tradingCards,appid,tags,releaseDate,developers,publishers,reviews,stats,players,urls
018d937f-19a5-7057-bb6d-314d586e6dbc,dota-2,Dota 2,game,False,"{'boxart': 'https://dbxce1spal1df.cloudfront.net/018d937f-19a5-7057-bb6d-314d586e6dbc/boxart.jpg?t=1720641000', 'banner145': 'https://dbxce1spal1df.cloudfront.net/018d937f-19a5-7057-bb6d-314d586e6dbc/banner145.jpg?t=1720641001', 'banner300': 'https://dbxce1spal1df.cloudfront.net/018d937f-19a5-7057-bb6d-314d586e6dbc/banner300.jpg?t=1720641001', 'banner400': 'https://dbxce1spal1df.cloudfront.net/018d937f-19a5-7057-bb6d-314d586e6dbc/banner400.jpg?t=1720641001', 'banner600': 'https://dbxce1spal1df.cloudfront.net/018d937f-19a5-7057-bb6d-314d586e6dbc/banner600.jpg?t=1720641002'}",False,False,True,570.0,"['Free to Play', 'MOBA', 'Multiplayer', 'Strategy', 'eSports']",2013-07-09,"[{'id': 5445, 'name': 'Valve'}]","[{'id': 5445, 'name': 'Valve'}]","[{'score': 81, 'source': 'Steam', 'count': 2273598, 'url': 'https://store.steampowered.com/app/570/'}, {'score': 90, 'source': 'Metascore', 'count': 32, 'url': 'https://metacritic.com/game/dota-2/critic-reviews/?platform=pc'}, {'score': 65, 'source': 'Metacritic User Score', 'count': 11297, 'url': 'https://metacritic.com/game/dota-2/user-reviews/?platform=pc'}, {'score': 91, 'source': 'OpenCritic', 'count': 17, 'url': 'https://opencritic.com/game/9753/dota-2'}]","{'rank': 645, 'waitlisted': 100, 'collected': 25023}","{'recent': 508811, 'day': 689869, 'week': 756631, 'peak': 987792}",{'game': 'https://isthereanydeal.com/game/dota-2/'}
018d937f-7851-7004-b780-3f657a301f9a,counter-strike-2,Counter-Strike 2,game,False,"{'boxart': 'https://dbxce1spal1df.cloudfront.net/018d937f-7851-7004-b780-3f657a301f9a/boxart.jpg?t=1719426900', 'banner145': 'https://dbxce1spal1df.cloudfront.net/018d937f-7851-7004-b780-3f657a301f9a/banner145.jpg?t=1719426901', 'banner300': 'https://dbxce1spal1df.cloudfront.net/018d937f-7851-7004-b780-3f657a301f9a/banner300.jpg?t=1719426901', 'banner400': 'https://dbxce1spal1df.cloudfront.net/018d937f-7851-7004-b780-3f657a301f9a/banner400.jpg?t=1719426901', 'banner600': 'https://dbxce1spal1df.cloudfront.net/018d937f-7851-7004-b780-3f657a301f9a/banner600.jpg?t=1719426902'}",False,False,True,730.0,"['FPS', 'Shooter', 'Multiplayer', 'Competitive', 'Action']",2012-08-21,"[{'id': 5445, 'name': 'Valve'}]","[{'id': 5445, 'name': 'Valve'}]","[{'score': 87, 'source': 'Steam', 'count': 8144440, 'url': 'https://store.steampowered.com/app/730/'}, {'score': 83, 'source': 'Metascore', 'count': 10, 'url': 'https://metacritic.com/game/counter-strike-2/critic-reviews/?platform=pc'}, {'score': 48, 'source': 'Metacritic User Score', 'count': 337, 'url': 'https://metacritic.com/game/counter-strike-2/user-reviews/?platform=pc'}, {'score': 80, 'source': 'OpenCritic', 'count': 10, 'url': 'https://opencritic.com/game/15609/counter-strike-2'}]","{'rank': 519, 'waitlisted': 238, 'collected': 27086}","{'recent': 940515, 'day': 1268934, 'week': 1347502, 'peak': 1783374}",{'game': 'https://isthereanydeal.com/game/counter-strike-2/'}
018d937f-57ce-723f-b7e7-7c7b5df93471,pubg-battlegrounds,PUBG: BATTLEGROUNDS,game,False,"{'boxart': 'https://dbxce1spal1df.cloudfront.net/018d937f-57ce-723f-b7e7-7c7b5df93471/boxart.jpg?t=1720673101', 'banner145': 'https://dbxce1spal1df.cloudfront.net/018d937f-57ce-723f-b7e7-7c7b5df93471/banner145.jpg?t=1720673101', 'banner300': 'https://dbxce1spal1df.cloudfront.net/018d937f-57ce-723f-b7e7-7c7b5df93471/banner300.jpg?t=1720673101', 'banner400': 'https://dbxce1spal1df.cloudfront.net/018d937f-57ce-723f-b7e7-7c7b5df93471/banner400.jpg?t=1720673101', 'banner600': 'https://dbxce1spal1df.cloudfront.net/018d937f-57ce-723f-b7e7-7c7b5df93471/banner600.jpg?t=1720673102'}",False,True,False,578080.0,"['Survival', 'Shooter', 'Battle Royale', 'Multiplayer', 'FPS']",2017-12-21,"[{'id': 13154, 'name': 'KRAFTON, Inc.'}]","[{'id': 13154, 'name': 'KRAFTON, Inc.'}]","[{'score': 58, 'source': 'Steam', 'count': 2390896, 'url': 'https://store.steampowered.com/app/578080/'}]","{'rank': 1682, 'waitlisted': 959, 'collected': 13670}","{'recent': 372658, 'day': 613911, 'week': 669558, 'peak': 1190514}",{'game': 'https://isthereanydeal.com/game/pubg-battlegrounds/'}
018d937f-50c1-7086-807c-e020c98c72b2,palworld,Palworld,game,False,"{'boxart': 'https://dbxce1spal1df.cloudfront.net/018d937f-50c1-7086-807c-e020c98c72b2/boxart.jpg?t=1719481811', 'banner145': 'https://dbxce1spal1df.cloudfront.net/018d937f-50c1-7086-807c-e020c98c72b2/banner145.jpg?t=1719481812', 'banner300': 'https://dbxce1spal1df.cloudfront.net/018d937f-50c1-7086-807c-e020c98c72b2/banner300.jpg?t=1719481812', 'banner400': 'https://dbxce1spal1df.cloudfront.net/018d937f-50c1-7086-807c-e020c98c72b2/banner400.jpg?t=1719481812', 'banner600': 'https://dbxce1spal1df.cloudfront.net/018d937f-50c1-7086-807c-e020c98c72b2/banner600.jpg?t=1719481812'}",False,True,False,1623730.0,"['Open World', 'Multiplayer', 'Survival', 'Creature Collector', 'Open World Survival Craft']",2024-01-19,"[{'id': 29012, 'name': 'Pocketpair'}]","[{'id': 29012, 'name': 'Pocketpair'}]","[{'score': 93, 'source': 'Steam', 'count': 268022, 'url': 'https://store.steampowered.com/app/1623730/'}, {'score': 71, 'source': 'OpenCritic', 'count': 20, 'url': 'https://opencritic.com/game/16166/palworld'}]","{'rank': 415, 'waitlisted': 10630, 'collected': 7130}","{'recent': 38763, 'day': 46359, 'week': 59456, 'peak': 2100886}",{'game': 'https://isthereanydeal.com/game/palworld/'}
018d937e-fde4-72ff-a7af-45e4955a8dd6,team-fortress-2,Team Fortress 2,game,False,"{'boxart': 'https://dbxce1spal1df.cloudfront.net/018d937e-fde4-72ff-a7af-45e4955a8dd6/boxart.jpg?t=1721938203', 'banner145': 'https://dbxce1spal1df.cloudfront.net/018d937e-fde4-72ff-a7af-45e4955a8dd6/banner145.jpg?t=1721938204', 'banner300': 'https://dbxce1spal1df.cloudfront.net/018d937e-fde4-72ff-a7af-45e4955a8dd6/banner300.jpg?t=1721938204', 'banner400': 'https://dbxce1spal1df.cloudfront.net/018d937e-fde4-72ff-a7af-45e4955a8dd6/banner400.jpg?t=1721938204', 'banner600': 'https://dbxce1spal1df.cloudfront.net/018d937e-fde4-72ff-a7af-45e4955a8dd6/banner600.jpg?t=1721938204'}",False,True,True,440.0,"['Free to Play', 'Hero Shooter', 'Multiplayer', 'FPS', 'Shooter']",2007-10-10,"[{'id': 5445, 'name': 'Valve'}]","[{'id': 5445, 'name': 'Valve'}]","[{'score': 86, 'source': 'Steam', 'count': 1110996, 'url': 'https://store.steampowered.com/app/440/'}, {'score': 92, 'source': 'Metascore', 'count': 17, 'url': 'https://metacritic.com/game/team-fortress-2/critic-reviews/?platform=pc'}, {'score': 86, 'source': 'Metacritic User Score', 'count': 4050, 'url': 'https://metacritic.com/game/team-fortress-2/user-reviews/?platform=pc'}]","{'rank': 454, 'waitlisted': 18, 'collected': 29035}","{'recent': 69106, 'day': 82557, 'week': 97322, 'peak': 237641}",{'game': 'https://isthereanydeal.com/game/team-fortress-2/'}
018d937f-0ddf-7119-9337-aa96d8a36d39,apex-legends,Apex Legends™,game,False,"{'boxart': 'https://dbxce1spal1df.cloudfront.net/018d937f-0ddf-7119-9337-aa96d8a36d39/boxart.jpg', 'banner145': 'https://dbxce1spal1df.cloudfront.net/018d937f-0ddf-7119-9337-aa96d8a36d39/banner145.jpg', 'banner300': 'https://dbxce1spal1df.cloudfront.net/018d937f-0ddf-7119-9337-aa96d8a36d39/banner300.jpg', 'banner400': 'https://dbxce1spal1df.cloudfront.net/018d937f-0ddf-7119-9337-aa96d8a36d39/banner400.jpg', 'banner600': 'https://dbxce1spal1df.cloudfront.net/018d937f-0ddf-7119-9337-aa96d8a36d39/banner600.jpg'}",False,True,True,1172470.0,"['Free to Play', 'Battle Royale', 'Multiplayer', 'FPS', 'Shooter']",2019-02-04,"[{'id': 36160, 'name': 'Respawn'}]","[{'id': 22, 'name': 'Electronic Arts'}]","[{'score': 77, 'source': 'Steam', 'count': 832053, 'url': 'https://store.steampowered.com/app/1172470/'}, {'score': 88, 'source': 'Metascore', 'count': 24, 'url': 'https://metacritic.com/game/apex-legends/critic-reviews/?platform=pc'}, {'score': 68, 'source': 'Metacritic User Score', 'count': 1536, 'url': 'https://metacritic.com/game/apex-legends/user-reviews/?platform=pc'}, {'score': 81, 'source': 'OpenCritic', 'count': 84, 'url': 'https://opencritic.com/game/7267/apex-legends'}]","{'rank': 950, 'waitlisted': 528, 'collected': 20049}","{'recent': 134176, 'day': 238254, 'week': 238254, 'peak': 611897}",{'game': 'https://isthereanydeal.com/game/apex-legends/'}
018d937f-2f21-71cf-a59b-fbad13eddf95,new-world,New World,game,False,"{'boxart': 'https://dbxce1spal1df.cloudfront.net/018d937f-2f21-71cf-a59b-fbad13eddf95/boxart.jpg', 'banner145': 'https://dbxce1spal1df.cloudfront.net/018d937f-2f21-71cf-a59b-fbad13eddf95/banner145.jpg', 'banner300': 'https://dbxce1spal1df.cloudfront.net/018d937f-2f21-71cf-a59b-fbad13eddf95/banner300.jpg', 'banner400': 'https://dbxce1spal1df.cloudfront.net/018d937f-2f21-71cf-a59b-fbad13eddf95/banner400.jpg', 'banner600': 'https://dbxce1spal1df.cloudfront.net/018d937f-2f21-71cf-a59b-fbad13eddf95/banner600.jpg'}",False,True,False,1063730.0,"['Open World', 'Massively Multiplayer', 'MMORPG', 'RPG', 'Adventure']",2021-09-28,"[{'id': 32618, 'name': 'Amazon Games'}]","[{'id': 32618, 'name': 'Amazon Games'}]","[{'score': 68, 'source': 'Steam', 'count': 239171, 'url': 'https://store.steampowered.com/app/1063730/'}, {'score': 70, 'source': 'Metascore', 'count': 15, 'url': 'https://metacritic.com/game/new-world/critic-reviews/?platform=pc'}, {'score': 55, 'source': 'Metacritic User Score', 'count': 881, 'url': 'https://metacritic.com/game/new-world/user-reviews/?platform=pc'}, {'score': 70, 'source': 'OpenCritic', 'count': 41, 'url': 'https://opencritic.com/game/11779/new-world'}]","{'rank': 1562, 'waitlisted': 5011, 'collected': 5629}","{'recent': 2849, 'day': 3883, 'week': 4782, 'peak': 909540}",{'game': 'https://isthereanydeal.com/game/new-world/'}
018d983f-2710-722d-8efd-b8fc55b0ed23,call-of-duty--1,Call of Duty®,,False,"{'boxart': 'https://dbxce1spal1df.cloudfront.net/018d983f-2710-722d-8efd-b8fc55b0ed23/boxart.jpg?t=1721930706', 'banner145': 'https://dbxce1spal1df.cloudfront.net/018d983f-2710-722d-8efd-b8fc55b0ed23/banner145.jpg?t=1721930706', 'banner300': 'https://dbxce1spal1df.cloudfront.net/018d983f-2710-722d-8efd-b8fc55b0ed23/banner300.jpg?t=1721930706', 'banner400': 'https://dbxce1spal1df.cloudfront.net/018d983f-2710-722d-8efd-b8fc55b0ed23/banner400.jpg?t=1721930707', 'banner600': 'https://dbxce1spal1df.cloudfront.net/018d983f-2710-722d-8efd-b8fc55b0ed23/banner600.jpg?t=1721930708'}",False,False,False,1938090.0,"['FPS', 'Multiplayer', 'Shooter', 'Action', 'Singleplayer']",2022-10-28,"[{'id': 679, 'name': 'Raven Software'}, {'id': 1037, 'name': 'Infinity Ward'}, {'id': 1038, 'name': 'Sledgehammer Games'}, {'id': 1464, 'name': 'Beenox'}, {'id': 5487, 'name': 'Treyarch'}, {'id': 12233, 'name': 'Demonware'}, {'id': 58273, 'name': 'High Moon Studios'}]","[{'id': 1036, 'name': 'Activision'}]","[{'score': 55, 'source': 'Steam', 'count': 323497, 'url': 'https://store.steampowered.com/app/1938090/'}]","{'rank': 3281, 'waitlisted': 1344, 'collected': 7253}","{'recent': 46363, 'day': 87585, 'week': 105754, 'peak': 471259}",{'game': 'https://isthereanydeal.com/game/call-of-duty--1/'}
018d937f-03e2-7281-a961-0018d937f-57ce-723f-b7e7-7c7b5df9347137a2d279a92,grand-theft-auto-v,Grand Theft Auto V,game,False,"{'boxart': 'https://dbxce1spal1df.cloudfront.net/018d937f-03e2-7281-a961-037a2d279a92/boxart.jpg?t=1720546500', 'banner145': 'https://dbxce1spal1df.cloudfront.net/018d937f-03e2-7281-a961-037a2d279a92/banner145.jpg?t=1720546500', 'banner300': 'https://dbxce1spal1df.cloudfront.net/018d937f-03e2-7281-a961-037a2d279a92/banner300.jpg?t=1720546501', 'banner400': 'https://dbxce1spal1df.cloudfront.net/018d937f-03e2-7281-a961-037a2d279a92/banner400.jpg?t=1720546501', 'banner600': 'https://dbxce1spal1df.cloudfront.net/018d937f-03e2-7281-a961-037a2d279a92/banner600.jpg?t=1720546501'}",False,False,False,271590.0,"['Open World', 'Action', 'Multiplayer', 'Crime', 'Automobile Sim']",2015-04-07,"[{'id': 488, 'name': 'Rockstar North'}, {'id': 111, 'name': 'Rockstar Games'}]","[{'id': 111, 'name': 'Rockstar Games'}, {'id': 91942, 'name': 'Xbox'}, {'id': 91944, 'name': 'Microsoft Xbox ESD (USA)'}]","[{'score': 87, 'source': 'Steam', 'count': 1681549, 'url': 'https://store.steampowered.com/app/271590/'}, {'score': 96, 'source': 'Metascore', 'count': 56, 'url': 'https://metacritic.com/game/grand-theft-auto-v/critic-reviews/?platform=pc'}, {'score': 85, 'source': 'Metacritic User Score', 'count': 9841, 'url': 'https://metacritic.com/game/grand-theft-auto-v/user-reviews/?platform=pc'}, {'score': 92, 'source': 'OpenCritic', 'count': 138, 'url': 'https://opencritic.com/game/163/grand-theft-auto-v'}]","{'rank': 22, 'waitlisted': 13417, 'collected': 31101}","{'recent': 135649, 'day': 173574, 'week': 186398, 'peak': 298773}",{'game': 'https://isthereanydeal.com/game/grand-theft-auto-v/'}
018d937f-2404-7297-93fb-94b54bdb74e5,left-4-dead-2,Left 4 Dead 2,game,False,"{'boxart': 'https://dbxce1spal1df.cloudfront.net/018d937f-2404-7297-93fb-94b54bdb74e5/boxart.jpg?t=1719427800', 'banner145': 'https://dbxce1spal1df.cloudfront.net/018d937f-2404-7297-93fb-94b54bdb74e5/banner145.jpg?t=1719427800', 'banner300': 'https://dbxce1spal1df.cloudfront.net/018d937f-2404-7297-93fb-94b54bdb74e5/banner300.jpg?t=1719427801', 'banner400': 'https://dbxce1spal1df.cloudfront.net/018d937f-2404-7297-93fb-94b54bdb74e5/banner400.jpg?t=1719427801', 'banner600': 'https://dbxce1spal1df.cloudfront.net/018d937f-2404-7297-93fb-94b54bdb74e5/banner600.jpg?t=1719427801'}",False,True,True,550.0,"['Zombies', 'Co-op', 'FPS', 'Multiplayer', 'Shooter']",2009-11-17,"[{'id': 5445, 'name': 'Valve'}]","[{'id': 5445, 'name': 'Valve'}]","[{'score': 97, 'source': 'Steam', 'count': 655227, 'url': 'https://store.steampowered.com/app/550/'}, {'score': 89, 'source': 'Metascore', 'count': 55, 'url': 'https://metacritic.com/game/left-4-dead-2/critic-reviews/?platform=pc'}, {'score': 82, 'source': 'Metacritic User Score', 'count': 631, 'url': 'https://metacritic.com/game/left-4-dead-2/user-reviews/?platform=pc'}]","{'rank': 9, 'waitlisted': 2004, 'collected': 64974}","{'recent': 19887, 'day': 33945, 'week': 34465, 'peak': 96384}",{'game': 'https://isthereanydeal.com/game/left-4-dead-2/'}
