,timestamp,regular_price,current_price,discount
0,2012-10-29,19.99,9.99,50.0
1,2012-10-30,19.99,9.99,50.0
2,2012-10-31,19.99,9.99,50.0
3,2012-11-01,19.99,9.99,50.0
4,2012-11-02,19.99,9.99,50.0
5,2012-11-03,19.99,9.99,50.0
6,2012-11-04,19.99,9.99,50.0
7,2012-11-05,19.99,9.99,50.0
8,2012-11-06,19.99,9.99,50.0
9,2012-11-07,19.99,9.99,50.0
10,2012-11-08,19.99,9.99,50.0
11,2012-11-09,19.99,9.99,50.0
12,2012-11-10,19.99,9.99,50.0
13,2012-11-11,19.99,9.99,50.0
14,2012-11-12,19.99,9.99,50.0
15,2012-11-13,19.99,9.99,50.0
16,2012-11-14,19.99,9.99,50.0
17,2012-11-15,19.99,9.99,50.0
18,2012-11-16,19.99,9.99,50.0
19,2012-11-17,19.99,9.99,50.0
20,2012-11-18,19.99,9.99,50.0
21,2012-11-19,19.99,9.99,50.0
22,2012-11-20,19.99,9.99,50.0
23,2012-11-21,19.99,9.99,50.0
24,2012-11-22,19.99,11.99,40.0
25,2012-11-23,19.99,11.99,40.0
26,2012-11-24,19.99,11.99,40.0
27,2012-11-25,19.99,11.99,40.0
28,2012-11-26,19.99,11.99,40.0
29,2012-11-27,19.99,11.99,40.0
30,2012-11-28,19.99,11.99,40.0
31,2012-11-29,19.99,11.99,40.0
32,2012-11-30,19.99,11.99,40.0
33,2012-12-01,19.99,11.99,40.0
34,2012-12-02,19.99,11.99,40.0
35,2012-12-03,19.99,11.99,40.0
36,2012-12-04,19.99,11.99,40.0
37,2012-12-05,19.99,11.99,40.0
38,2012-12-06,19.99,11.99,40.0
39,2012-12-07,19.99,11.99,40.0
40,2012-12-08,19.99,11.99,40.0
41,2012-12-09,19.99,11.99,40.0
42,2012-12-10,19.99,11.99,40.0
43,2012-12-11,19.99,11.99,40.0
44,2012-12-12,19.99,11.99,40.0
45,2012-12-13,19.99,11.99,40.0
46,2012-12-14,19.99,11.99,40.0
47,2012-12-15,19.99,11.99,40.0
48,2012-12-16,19.99,11.99,40.0
49,2012-12-17,19.99,11.99,40.0
50,2012-12-18,19.99,11.99,40.0
51,2012-12-19,19.99,11.99,40.0
52,2012-12-20,19.99,11.99,40.0
53,2012-12-21,19.99,11.99,40.0
54,2012-12-22,19.99,11.99,40.0
55,2012-12-23,19.99,11.99,40.0
56,2012-12-24,19.99,11.99,40.0
57,2012-12-25,19.99,11.99,40.0
58,2012-12-26,19.99,11.99,40.0
59,2012-12-27,19.99,11.99,40.0
60,2012-12-28,19.99,11.99,40.0
61,2012-12-29,19.99,11.99,40.0
62,2012-12-30,19.99,11.99,40.0
63,2012-12-31,19.99,11.99,40.0
64,2013-01-01,19.99,11.99,40.0
65,2013-01-02,19.99,11.99,40.0
66,2013-01-03,19.99,11.99,40.0
67,2013-01-04,19.99,11.99,40.0
68,2013-01-05,19.99,11.99,40.0
69,2013-01-06,19.99,11.99,40.0
70,2013-01-07,19.99,11.99,40.0
71,2013-01-08,19.99,11.99,40.0
72,2013-01-09,19.99,11.99,40.0
73,2013-01-10,19.99,11.99,40.0
74,2013-01-11,19.99,11.99,40.0
75,2013-01-12,19.99,11.99,40.0
76,2013-01-13,19.99,11.99,40.0
77,2013-01-14,19.99,11.99,40.0
78,2013-01-15,19.99,11.99,40.0
79,2013-01-16,19.99,11.99,40.0
80,2013-01-17,19.99,11.99,40.0
81,2013-01-18,19.99,11.99,40.0
82,2013-01-19,19.99,11.99,40.0
83,2013-01-20,19.99,11.99,40.0
84,2013-01-21,19.99,11.99,40.0
85,2013-01-22,19.99,11.99,40.0
86,2013-01-23,19.99,11.99,40.0
87,2013-01-24,19.99,11.99,40.0
88,2013-01-25,19.99,11.99,40.0
89,2013-01-26,19.99,11.99,40.0
90,2013-01-27,19.99,11.99,40.0
91,2013-01-28,19.99,11.99,40.0
92,2013-01-29,19.99,11.99,40.0
93,2013-01-30,19.99,11.99,40.0
94,2013-01-31,19.99,11.99,40.0
95,2013-02-01,19.99,11.99,40.0
96,2013-02-02,19.99,11.99,40.0
97,2013-02-03,19.99,11.99,40.0
98,2013-02-04,19.99,11.99,40.0
99,2013-02-05,19.99,11.99,40.0
100,2013-02-06,19.99,11.99,40.0
101,2013-02-07,19.99,11.99,40.0
102,2013-02-08,19.99,11.99,40.0
103,2013-02-09,19.99,11.99,40.0
104,2013-02-10,19.99,11.99,40.0
105,2013-02-11,19.99,11.99,40.0
106,2013-02-12,19.99,11.99,40.0
107,2013-02-13,19.99,11.99,40.0
108,2013-02-14,19.99,11.99,40.0
109,2013-02-15,19.99,11.99,40.0
110,2013-02-16,19.99,11.99,40.0
111,2013-02-17,19.99,11.99,40.0
112,2013-02-18,19.99,11.99,40.0
113,2013-02-19,19.99,11.99,40.0
114,2013-02-20,19.99,11.99,40.0
115,2013-02-21,19.99,11.99,40.0
116,2013-02-22,19.99,11.99,40.0
117,2013-02-23,19.99,11.99,40.0
118,2013-02-24,19.99,11.99,40.0
119,2013-02-25,19.99,11.99,40.0
120,2013-02-26,19.99,11.99,40.0
121,2013-02-27,19.99,11.99,40.0
122,2013-02-28,19.99,11.99,40.0
123,2013-03-01,19.99,11.99,40.0
124,2013-03-02,19.99,11.99,40.0
125,2013-03-03,19.99,11.99,40.0
126,2013-03-04,19.99,11.99,40.0
127,2013-03-05,19.99,11.99,40.0
128,2013-03-06,19.99,11.99,40.0
129,2013-03-07,19.99,11.99,40.0
130,2013-03-08,19.99,11.99,40.0
131,2013-03-09,19.99,11.99,40.0
132,2013-03-10,19.99,11.99,40.0
133,2013-03-11,19.99,11.99,40.0
134,2013-03-12,19.99,11.99,40.0
135,2013-03-13,19.99,11.99,40.0
136,2013-03-14,19.99,11.99,40.0
137,2013-03-15,19.99,11.99,40.0
138,2013-03-16,19.99,11.99,40.0
139,2013-03-17,19.99,11.99,40.0
140,2013-03-18,19.99,11.99,40.0
141,2013-03-19,19.99,11.99,40.0
142,2013-03-20,19.99,11.99,40.0
143,2013-03-21,19.99,11.99,40.0
144,2013-03-22,19.99,11.99,40.0
145,2013-03-23,19.99,11.99,40.0
146,2013-03-24,19.99,11.99,40.0
147,2013-03-25,19.99,11.99,40.0
148,2013-03-26,19.99,11.99,40.0
149,2013-03-27,19.99,11.99,40.0
150,2013-03-28,19.99,11.99,40.0
151,2013-03-29,19.99,11.99,40.0
152,2013-03-30,19.99,11.99,40.0
153,2013-03-31,19.99,11.99,40.0
154,2013-04-01,19.99,11.99,40.0
155,2013-04-02,19.99,11.99,40.0
156,2013-04-03,19.99,11.99,40.0
157,2013-04-04,19.99,11.99,40.0
158,2013-04-05,19.99,11.99,40.0
159,2013-04-06,19.99,11.99,40.0
160,2013-04-07,19.99,11.99,40.0
161,2013-04-08,19.99,11.99,40.0
162,2013-04-09,19.99,11.99,40.0
163,2013-04-10,19.99,11.99,40.0
164,2013-04-11,19.99,11.99,40.0
165,2013-04-12,19.99,11.99,40.0
166,2013-04-13,19.99,11.99,40.0
167,2013-04-14,19.99,11.99,40.0
168,2013-04-15,19.99,11.99,40.0
169,2013-04-16,19.99,11.99,40.0
170,2013-04-17,19.99,11.99,40.0
171,2013-04-18,19.99,11.99,40.0
172,2013-04-19,19.99,11.99,40.0
173,2013-04-20,19.99,11.99,40.0
174,2013-04-21,19.99,11.99,40.0
175,2013-04-22,19.99,11.99,40.0
176,2013-04-23,19.99,11.99,40.0
177,2013-04-24,19.99,11.99,40.0
178,2013-04-25,19.99,11.99,40.0
179,2013-04-26,19.99,11.99,40.0
180,2013-04-27,19.99,11.99,40.0
181,2013-04-28,19.99,11.99,40.0
182,2013-04-29,19.99,11.99,40.0
183,2013-04-30,19.99,11.99,40.0
184,2013-05-01,19.99,11.99,40.0
185,2013-05-02,19.99,11.99,40.0
186,2013-05-03,19.99,11.99,40.0
187,2013-05-04,19.99,11.99,40.0
188,2013-05-05,19.99,11.99,40.0
189,2013-05-06,19.99,11.99,40.0
190,2013-05-07,19.99,11.99,40.0
191,2013-05-08,19.99,11.99,40.0
192,2013-05-09,19.99,11.99,40.0
193,2013-05-10,19.99,11.99,40.0
194,2013-05-11,19.99,11.99,40.0
195,2013-05-12,19.99,11.99,40.0
196,2013-05-13,19.99,11.99,40.0
197,2013-05-14,19.99,11.99,40.0
198,2013-05-15,19.99,11.99,40.0
199,2013-05-16,19.99,11.99,40.0
200,2013-05-17,19.99,11.99,40.0
