id,title,deals,games,update
19,2game,76,4009,2024-08-02T18:21:09+02:00
2,AllYouPlay,358,4599,2024-08-03T07:01:04+02:00
3,Amazon,313,4627,2024-08-03T07:11:33+02:00
4,Blizzard,7,585,2024-08-03T06:20:53+02:00
13,DLGamer,2728,4260,2024-08-03T07:20:30+02:00
15,Dreamgame,17,1653,2024-08-03T04:21:27+02:00
52,EA Store,0,521,2024-08-03T07:26:26+02:00
16,Epic Game Store,205,9619,2024-08-03T06:46:25+02:00
67,eTail.Market,1976,3300,2024-08-03T06:21:19+02:00
6,Fanatical,6539,12629,2024-08-03T07:20:28+02:00
17,FireFlower,0,238,2024-08-03T07:20:53+02:00
20,GameBillet,6592,6914,2024-08-03T02:01:51+02:00
68,Gamer Thor,1847,2259,2024-08-02T08:01:48+02:00
24,GamersGate,834,8759,2024-08-03T07:20:41+02:00
25,Gamesload,1336,2562,2024-08-03T06:46:12+02:00
27,GamesPlanet DE,6218,6528,2024-08-03T02:40:57+02:00
28,GamesPlanet FR,6253,6561,2024-08-03T02:40:32+02:00
26,GamesPlanet UK,6233,6552,2024-08-03T02:40:41+02:00
29,GamesPlanet US,6567,6910,2024-08-03T02:01:10+02:00
35,GOG,2145,9676,2024-08-03T07:15:55+02:00
36,GreenManGaming,5122,10807,2024-08-03T06:36:14+02:00
37,Humble Store,582,11859,2024-08-03T07:17:10+02:00
42,IndieGala Store,1419,9592,2024-08-03T07:16:09+02:00
65,JoyBuggy,3419,3488,2024-08-03T02:02:16+02:00
47,MacGameStore,619,4833,2024-08-02T22:00:50+02:00
48,Microsoft Store,21,978,2024-08-03T07:26:12+02:00
49,Newegg,258,5674,2024-08-03T06:31:26+02:00
66,Noctre,190,3318,2024-08-03T07:01:40+02:00
50,Nuuvem,242,3212,2024-08-03T07:20:35+02:00
61,Steam,27598,189132,2024-08-03T07:18:05+02:00
62,Ubisoft Store,158,675,2024-08-03T07:25:52+02:00
63,Voidu,0,0,2024-06-07T23:16:56+02:00
64,WinGameStore,1857,5896,2024-08-02T22:00:48+02:00
