id,slug,title,type,mature,assets,earlyAccess,achievements,tradingCards,appid,tags,releaseDate,developers,publishers,reviews,stats,players,urls
018d937e-f4d0-7252-ba72-bcafa3ab4d5c,x-rebirth,X-Rebirth,game,False,"{'boxart': 'https://dbxce1spal1df.cloudfront.net/018d937e-f4d0-7252-ba72-bcafa3ab4d5c/boxart.jpg', 'banner145': 'https://dbxce1spal1df.cloudfront.net/018d937e-f4d0-7252-ba72-bcafa3ab4d5c/banner145.jpg', 'banner300': 'https://dbxce1spal1df.cloudfront.net/018d937e-f4d0-7252-ba72-bcafa3ab4d5c/banner300.jpg', 'banner400': 'https://dbxce1spal1df.cloudfront.net/018d937e-f4d0-7252-ba72-bcafa3ab4d5c/banner400.jpg', 'banner600': 'https://dbxce1spal1df.cloudfront.net/018d937e-f4d0-7252-ba72-bcafa3ab4d5c/banner600.jpg'}",False,True,True,2870,"['Simulation', 'Space', 'Sci-fi', 'Action', 'Space Sim']",2013-11-14,"[{'id': 110, 'name': 'Egosoft'}]","[{'id': 110, 'name': 'Egosoft'}, {'id': 5742, 'name': 'Egosoft Studios'}, {'id': 8320, 'name': 'Egosoft GmbH'}]","[{'score': 41, 'source': 'Steam', 'count': 5114, 'url': 'https://store.steampowered.com/app/2870/'}, {'score': 33, 'source': 'Metascore', 'count': 24, 'url': 'https://metacritic.com/game/x-rebirth/critic-reviews/?platform=pc'}, {'score': 32, 'source': 'Metacritic User Score', 'count': 1199, 'url': 'https://metacritic.com/game/x-rebirth/user-reviews/?platform=pc'}, {'score': 31, 'source': 'OpenCritic', 'count': 13, 'url': 'https://opencritic.com/game/577/x-rebirth'}]","{'rank': 4226, 'waitlisted': 1765, 'collected': 4486}","{'recent': 15, 'day': 27, 'week': 27, 'peak': 313}",{'game': 'https://isthereanydeal.com/game/x-rebirth/'}
018d937f-0e1c-7128-b271-f851426aac22,rabi-ribi,Rabi-Ribi,game,False,"{'boxart': 'https://dbxce1spal1df.cloudfront.net/018d937f-0e1c-7128-b271-f851426aac22/boxart.jpg', 'banner145': 'https://dbxce1spal1df.cloudfront.net/018d937f-0e1c-7128-b271-f851426aac22/banner145.jpg', 'banner300': 'https://dbxce1spal1df.cloudfront.net/018d937f-0e1c-7128-b271-f851426aac22/banner300.jpg', 'banner400': 'https://dbxce1spal1df.cloudfront.net/018d937f-0e1c-7128-b271-f851426aac22/banner400.jpg', 'banner600': 'https://dbxce1spal1df.cloudfront.net/018d937f-0e1c-7128-b271-f851426aac22/banner600.jpg'}",False,True,True,400910,"['Anime', 'Metroidvania', 'Bullet Hell', 'Female Protagonist', 'Pixel Graphics']",2016-01-28,"[{'id': 14636, 'name': 'CreSpirit'}, {'id': 14637, 'name': 'GemaYue'}]","[{'id': 14636, 'name': 'CreSpirit'}]","[{'score': 96, 'source': 'Steam', 'count': 10080, 'url': 'https://store.steampowered.com/app/400910/'}, {'score': None, 'source': 'Metascore', 'count': 3, 'url': 'https://metacritic.com/game/rabi-ribi/critic-reviews/?platform=pc'}, {'score': 75, 'source': 'Metacritic User Score', 'count': 21, 'url': 'https://metacritic.com/game/rabi-ribi/user-reviews/?platform=pc'}, {'score': 81, 'source': 'OpenCritic', 'count': 24, 'url': 'https://opencritic.com/game/2227/rabi-ribi'}]","{'rank': 2121, 'waitlisted': 5037, 'collected': 2859}","{'recent': 48, 'day': 150, 'week': 150, 'peak': 499}",{'game': 'https://isthereanydeal.com/game/rabi-ribi/'}
018d937f-1e70-722d-8798-194bf936f613,mist-survival,Mist Survival,game,False,"{'boxart': 'https://dbxce1spal1df.cloudfront.net/018d937f-1e70-722d-8798-194bf936f613/boxart.png', 'banner145': 'https://dbxce1spal1df.cloudfront.net/018d937f-1e70-722d-8798-194bf936f613/banner145.jpg', 'banner300': 'https://dbxce1spal1df.cloudfront.net/018d937f-1e70-722d-8798-194bf936f613/banner300.jpg', 'banner400': 'https://dbxce1spal1df.cloudfront.net/018d937f-1e70-722d-8798-194bf936f613/banner400.jpg', 'banner600': 'https://dbxce1spal1df.cloudfront.net/018d937f-1e70-722d-8798-194bf936f613/banner600.jpg'}",True,False,False,914620,"['Survival', 'Zombies', 'Open World Survival Craft', 'Open World', 'Singleplayer']",2018-08-15,"[{'id': 28895, 'name': 'Dimension 32 Entertainment'}]","[{'id': 28895, 'name': 'Dimension 32 Entertainment'}]","[{'score': 78, 'source': 'Steam', 'count': 11680, 'url': 'https://store.steampowered.com/app/914620/'}]","{'rank': 5889, 'waitlisted': 2396, 'collected': 896}","{'recent': 120, 'day': 151, 'week': 151, 'peak': 3134}",{'game': 'https://isthereanydeal.com/game/mist-survival/'}
018d937f-0c7c-7341-82c7-251c2509385c,puzzle-agent-2,Puzzle Agent 2,game,False,"{'boxart': 'https://dbxce1spal1df.cloudfront.net/018d937f-0c7c-7341-82c7-251c2509385c/boxart.jpg', 'banner145': 'https://dbxce1spal1df.cloudfront.net/018d937f-0c7c-7341-82c7-251c2509385c/banner145.jpg', 'banner300': 'https://dbxce1spal1df.cloudfront.net/018d937f-0c7c-7341-82c7-251c2509385c/banner300.jpg', 'banner400': 'https://dbxce1spal1df.cloudfront.net/018d937f-0c7c-7341-82c7-251c2509385c/banner400.jpg', 'banner600': 'https://dbxce1spal1df.cloudfront.net/018d937f-0c7c-7341-82c7-251c2509385c/banner600.jpg'}",False,True,False,94590,"['Adventure', 'Puzzle', 'Point & Click', 'Casual', 'Detective']",2011-06-29,"[{'id': 539, 'name': 'Telltale'}]","[{'id': 332, 'name': 'Telltale Games'}, {'id': 102, 'name': 'Plug In Digital'}, {'id': 539, 'name': 'Telltale'}]","[{'score': 86, 'source': 'Steam', 'count': 514, 'url': 'https://store.steampowered.com/app/94590/'}, {'score': 63, 'source': 'Metascore', 'count': 8, 'url': 'https://metacritic.com/game/puzzle-agent-2/critic-reviews/?platform=pc'}, {'score': 66, 'source': 'Metacritic User Score', 'count': 21, 'url': 'https://metacritic.com/game/puzzle-agent-2/user-reviews/?platform=pc'}]","{'rank': 921, 'waitlisted': 355, 'collected': 20913}","{'recent': 0, 'day': 2, 'week': 4, 'peak': 14}",{'game': 'https://isthereanydeal.com/game/puzzle-agent-2/'}
018d937f-2d67-70cb-8706-8c3c9f701c07,the-forgotten-city,The Forgotten City,game,False,"{'boxart': 'https://dbxce1spal1df.cloudfront.net/018d937f-2d67-70cb-8706-8c3c9f701c07/boxart.jpg', 'banner145': 'https://dbxce1spal1df.cloudfront.net/018d937f-2d67-70cb-8706-8c3c9f701c07/banner145.jpg', 'banner300': 'https://dbxce1spal1df.cloudfront.net/018d937f-2d67-70cb-8706-8c3c9f701c07/banner300.jpg', 'banner400': 'https://dbxce1spal1df.cloudfront.net/018d937f-2d67-70cb-8706-8c3c9f701c07/banner400.jpg', 'banner600': 'https://dbxce1spal1df.cloudfront.net/018d937f-2d67-70cb-8706-8c3c9f701c07/banner600.jpg'}",False,True,False,874260,"['Adventure', 'Time Travel', 'Mystery', 'Exploration', 'Choices Matter']",2021-07-28,"[{'id': 653, 'name': 'Modern Storyteller'}]","[{'id': 135, 'name': 'Dear Villagers'}, {'id': 102, 'name': 'Plug In Digital'}, {'id': 12696, 'name': 'Plug In Digital SAS'}]","[{'score': 96, 'source': 'Steam', 'count': 8385, 'url': 'https://store.steampowered.com/app/874260/'}, {'score': 85, 'source': 'Metascore', 'count': 30, 'url': 'https://metacritic.com/game/the-forgotten-city/critic-reviews/?platform=pc'}, {'score': 82, 'source': 'Metacritic User Score', 'count': 190, 'url': 'https://metacritic.com/game/the-forgotten-city/user-reviews/?platform=pc'}, {'score': 84, 'source': 'OpenCritic', 'count': 73, 'url': 'https://opencritic.com/game/11732/the-forgotten-city'}]","{'rank': 753, 'waitlisted': 5996, 'collected': 10625}","{'recent': 73, 'day': 83, 'week': 120, 'peak': 575}",{'game': 'https://isthereanydeal.com/game/the-forgotten-city/'}
018d937f-2e78-73f4-8df3-ce7149891f4c,total-tank-simulator,Total Tank Simulator,game,False,"{'boxart': 'https://dbxce1spal1df.cloudfront.net/018d937f-2e78-73f4-8df3-ce7149891f4c/boxart.jpg', 'banner145': 'https://dbxce1spal1df.cloudfront.net/018d937f-2e78-73f4-8df3-ce7149891f4c/banner145.jpg', 'banner300': 'https://dbxce1spal1df.cloudfront.net/018d937f-2e78-73f4-8df3-ce7149891f4c/banner300.jpg', 'banner400': 'https://dbxce1spal1df.cloudfront.net/018d937f-2e78-73f4-8df3-ce7149891f4c/banner400.jpg', 'banner600': 'https://dbxce1spal1df.cloudfront.net/018d937f-2e78-73f4-8df3-ce7149891f4c/banner600.jpg'}",False,True,False,674500,"['Strategy', 'Simulation', 'Action', 'Sandbox', 'World War II']",2020-05-20,"[{'id': 1631, 'name': 'Noobz from Poland'}]","[{'id': 148, 'name': '505 Games'}]","[{'score': 81, 'source': 'Steam', 'count': 6399, 'url': 'https://store.steampowered.com/app/674500/'}, {'score': 66, 'source': 'Metascore', 'count': 1, 'url': 'https://metacritic.com/game/total-tank-simulator/critic-reviews/?platform=pc'}, {'score': 76, 'source': 'Metacritic User Score', 'count': 12, 'url': 'https://metacritic.com/game/total-tank-simulator/user-reviews/?platform=pc'}, {'score': 65, 'source': 'OpenCritic', 'count': 5, 'url': 'https://opencritic.com/game/9524/total-tank-simulator'}]","{'rank': 3082, 'waitlisted': 736, 'collected': 9039}","{'recent': 39, 'day': 71, 'week': 77, 'peak': 1678}",{'game': 'https://isthereanydeal.com/game/total-tank-simulator/'}
018d937f-213f-7029-87ff-c2c885b1e839,spacelords,Spacelords,game,False,"{'boxart': 'https://dbxce1spal1df.cloudfront.net/018d937f-213f-7029-87ff-c2c885b1e839/boxart.jpg', 'banner145': 'https://dbxce1spal1df.cloudfront.net/018d937f-213f-7029-87ff-c2c885b1e839/banner145.jpg', 'banner300': 'https://dbxce1spal1df.cloudfront.net/018d937f-213f-7029-87ff-c2c885b1e839/banner300.jpg', 'banner400': 'https://dbxce1spal1df.cloudfront.net/018d937f-213f-7029-87ff-c2c885b1e839/banner400.jpg', 'banner600': 'https://dbxce1spal1df.cloudfront.net/018d937f-213f-7029-87ff-c2c885b1e839/banner600.jpg'}",False,True,True,436180,"['Action', 'Free to Play', 'Multiplayer', 'Adventure', 'Shooter']",2017-09-22,"[{'id': 1307, 'name': 'MercurySteam'}]","[{'id': 16143, 'name': 'Mercury Steam Entertainment s.l.'}]","[{'score': 52, 'source': 'Steam', 'count': 3203, 'url': 'https://store.steampowered.com/app/436180/'}, {'score': None, 'source': 'Metacritic User Score', 'count': 1, 'url': 'https://metacritic.com/game/spacelords/user-reviews/?platform=pc'}]","{'rank': 4809, 'waitlisted': 179, 'collected': 6967}","{'recent': 5, 'day': 8, 'week': 10, 'peak': 86}",{'game': 'https://isthereanydeal.com/game/spacelords/'}
018d937f-1b3a-7082-bb91-ff631954043b,blameless,Blameless,game,False,"{'boxart': 'https://dbxce1spal1df.cloudfront.net/018d937f-1b3a-7082-bb91-ff631954043b/boxart.png', 'banner145': 'https://dbxce1spal1df.cloudfront.net/018d937f-1b3a-7082-bb91-ff631954043b/banner145.jpg', 'banner300': 'https://dbxce1spal1df.cloudfront.net/018d937f-1b3a-7082-bb91-ff631954043b/banner300.jpg', 'banner400': 'https://dbxce1spal1df.cloudfront.net/018d937f-1b3a-7082-bb91-ff631954043b/banner400.jpg', 'banner600': 'https://dbxce1spal1df.cloudfront.net/018d937f-1b3a-7082-bb91-ff631954043b/banner600.jpg'}",False,True,False,530330,"['Free to Play', 'Horror', 'Multiplayer', 'Adventure', 'Puzzle']",2016-10-13,"[{'id': 18319, 'name': 'Vaclav Hudec'}]","[{'id': 18318, 'name': 'Blameless Games'}]","[{'score': 84, 'source': 'Steam', 'count': 4744, 'url': 'https://store.steampowered.com/app/530330/'}, {'score': 62, 'source': 'Metacritic User Score', 'count': 5, 'url': 'https://metacritic.com/game/blameless/user-reviews/?platform=pc'}]","{'rank': 7366, 'waitlisted': 544, 'collected': 3746}","{'recent': 4, 'day': 7, 'week': 7, 'peak': 26}",{'game': 'https://isthereanydeal.com/game/blameless/'}
018d937f-0a33-7262-8a73-7f4c2797fe45,interstellar-marines,Interstellar Marines,game,False,"{'boxart': 'https://dbxce1spal1df.cloudfront.net/018d937f-0a33-7262-8a73-7f4c2797fe45/boxart.jpg', 'banner145': 'https://dbxce1spal1df.cloudfront.net/018d937f-0a33-7262-8a73-7f4c2797fe45/banner145.jpg', 'banner300': 'https://dbxce1spal1df.cloudfront.net/018d937f-0a33-7262-8a73-7f4c2797fe45/banner300.jpg', 'banner400': 'https://dbxce1spal1df.cloudfront.net/018d937f-0a33-7262-8a73-7f4c2797fe45/banner400.jpg', 'banner600': 'https://dbxce1spal1df.cloudfront.net/018d937f-0a33-7262-8a73-7f4c2797fe45/banner600.jpg'}",True,True,False,236370,"['Action', 'FPS', 'Indie', 'Tactical', 'Co-op']",2013-07-02,"[{'id': 5758, 'name': 'Zero Point Software'}]","[{'id': 5758, 'name': 'Zero Point Software'}]","[{'score': 53, 'source': 'Steam', 'count': 4217, 'url': 'https://store.steampowered.com/app/236370/'}, {'score': 71, 'source': 'Metacritic User Score', 'count': 42, 'url': 'https://metacritic.com/game/interstellar-marines/user-reviews/?platform=pc'}]","{'rank': 3876, 'waitlisted': 1291, 'collected': 6131}","{'recent': 0, 'day': 1, 'week': 2, 'peak': 26}",{'game': 'https://isthereanydeal.com/game/interstellar-marines/'}
018d937f-1b52-72fe-8828-fc57d66141ae,pulsar-lost-colony,PULSAR: Lost Colony,game,False,"{'boxart': 'https://dbxce1spal1df.cloudfront.net/018d937f-1b52-72fe-8828-fc57d66141ae/boxart.jpg', 'banner145': 'https://dbxce1spal1df.cloudfront.net/018d937f-1b52-72fe-8828-fc57d66141ae/banner145.jpg', 'banner300': 'https://dbxce1spal1df.cloudfront.net/018d937f-1b52-72fe-8828-fc57d66141ae/banner300.jpg', 'banner400': 'https://dbxce1spal1df.cloudfront.net/018d937f-1b52-72fe-8828-fc57d66141ae/banner400.jpg', 'banner600': 'https://dbxce1spal1df.cloudfront.net/018d937f-1b52-72fe-8828-fc57d66141ae/banner600.jpg'}",False,True,False,252870,"['Exploration', 'Co-op', 'Sci-fi', 'Open World', 'Adventure']",2021-06-22,"[{'id': 6530, 'name': 'Leafy Games'}]","[{'id': 6530, 'name': 'Leafy Games'}]","[{'score': 90, 'source': 'Steam', 'count': 4153, 'url': 'https://store.steampowered.com/app/252870/'}, {'score': None, 'source': 'Metascore', 'count': 1, 'url': 'https://metacritic.com/game/pulsar-lost-colony/critic-reviews/?platform=pc'}, {'score': None, 'source': 'OpenCritic', 'count': 1, 'url': 'https://opencritic.com/game/11643/pulsar-lost-colony'}]","{'rank': 1884, 'waitlisted': 5629, 'collected': 2631}","{'recent': 47, 'day': 82, 'week': 82, 'peak': 1205}",{'game': 'https://isthereanydeal.com/game/pulsar-lost-colony/'}
